Transaction ID,Transaction Date,Customer_ID,Customer Country,Customer City,CATEGORY,Product Name,SKU_ID,Quantity,Unit Price USD,Discount PCT,Net Amount USD,Tax Amount USD,Total Amount USD,Payment_Method,Sales Channel,Warehouse_ID,Carrier,Shipping Days,Is_Return,Return Reason,Customer Rating,Agent_ID,Promo Code,Loyalty Points Earned
TXN-73911590,2022-10-13 15:58:44,CUST-995645,GB,Manchester,Beauty,Sunscreen,SKU-BEA-7538,3,459.78,25,1034.5,206.9,1241.4,Google Pay,Online,WH-US-NJ,USPS,13.0,0,,2.0,AGT-672,,1834.0
TXN-72517758,2023-03-19 22:20:30,CUST-545901,ZA,Durban,Home & Kitchen,Rice Cooker,SKU-HOM-9659,1,371.26,0,371.26,55.69,426.95,Credit Card,Online,WH-SG-SIN,UPS,12.0,1,Duplicate Order,4.6,AGT-781,PROMOSAVE,827.0
TXN-73911590,2023-03-05 04:20:33,CUST-936978,US,,Apparel,Sneakers,SKU-APP-7769,10,755.46,0,7554.6,604.37,8158.97,Crypto,Mobile App,WH-GB-LHR,FedEx,7.0,0,,2.5,,PROMOVIP,13674.0
TXN-72517758,10-04-2024,CUST-170586,FR,Nantes,Apparel,Formal Shirt,SKU-APP-9981,3,851.36,5,2426.38,485.28,2911.66,Credit Card,In-Store,WH-JP-OSA,Australia Post,4.0,0,,,AGT-528,,2544.0
TXN-53891046,19/05/2022 17:26,CUST-430629,BR,,Apparel,T-Shirt,SKU-APP-3650,2,1105.94,0,2211.88,,2477.31,PayPal,Online,WH-JP-OSA,USPS,2.0,0,,4.8,,,4217.0
TXN-73911590,2022-06-04 10:18:02,CUST-765176,ZA,,Home & Kitchen,Coffee Maker,SKU-HOM-8416,3,27.9,0,83.7,12.55,96.25,PayPal,Mobile App,WH-US-NJ,BlueDart,7.0,0,,,AGT-811,PROMO10,
TXN-53891046,2023-03-02 01:07:41,CUST-266692,US,Los Angeles,Electronics,SSD Drive,SKU-ELE-6829,3,602.07,0,1806.21,144.5,1950.71,PayPal,Online,WH-SG-SIN,BlueDart,2.0,0,,1.4,,PROMOSUMMER,2404.0
TXN-56602923,2023-03-19 07:21:10,CUST-400104,US,Houston,Electronics,SSD Drive,SKU-ELE-4767,1,546.61,0,546.61,43.73,590.34,Debit Card,In-Store,WH-DE-FRA,DHL,10.0,0,,,AGT-260,,943.0
TXN-53891046,2022-08-10 18:43:52,CUST-124095,JP,Tokyo,Apparel,Dress,SKU-APP-2685,1,183.31,10,164.98,16.5,181.48,Debit Card,Mobile App,WH-US-TX,Australia Post,14.0,1,Size Issue,,AGT-304,PROMOFLASH,146.0
TXN-30641355,2024-05-28 08:28:59,CUST-806714,FR,Toulouse,sports,Foam Roller,SKU-SPO-3631,2,1292.43,0,2584.86,516.97,3101.83,Google Pay,Online,WH-US-CA,FedEx,8.0,0,,2.7,AGT-814,,3230.0
TXN-94606389,2024-04-03 14:30:35,CUST-783840,IN,Hyderabad,Beauty,Hair Dryer,SKU-BEA-3419,3,259.34,0,778.02,140.04,918.06,PayPal,In-Store,WH-DE-FRA,Royal Mail,1.0,0,,4.1,,PROMO10,743.0
TXN-73911590,2024-01-19 06:38:19,CUST-295954,DE,Hamburg,Electronics,Webcam,SKU-ELE-5215,1,971.69,15,825.94,156.93,982.87,Debit Card,In-Store,WH-DE-FRA,Canada Post,,0,,4.5,AGT-706,,658.0
TXN-56602923,2023-01-07 06:22:00,CUST-407653,IN, Hyderabad ,Electronics,Mouse,SKU-ELE-9774,1,599.5,20,479.6,86.33,565.93,Debit Card,Mobile App,WH-US-CA,Japan Post,13.0,0,,4.6,,,1065.0
TXN-48659822,18-02-2024,CUST-350500,IN,Hyderabad,Apparel,Jeans,SKU-APP-8077,5,195.95,25,734.81,132.27,867.08,Debit Card,Mobile App,WH-AU-SYD,DHL,9.0,0,,5.0,,,712.0
TXN-58309139,2022-05-04 21:35:44,CUST-464967,CA,Ottawa,Electronics,Smartwatch,SKU-ELE-2779,2,1096.1,0,2192.2,284.99,2477.19,Debit Card,Online,WH-CA-YYZ,Canada Post,4.0,0,,1.2,AGT-531,PROMOFLASH,3678.0
TXN-38092048,2022-05-26 22:28:52,CUST-918393,JP,Tokyo,Home & Kitchen,Kettle,SKU-HOM-5057,4,993.77,0,3975.08,397.51,4372.59,Credit Card,Online,WH-SG-SIN,Canada Post,13.0,0,,1.4,AGT-829,,6334.0
TXN-31109143,2023-11-14 20:46:45,CUST-642927,IN,Chennai,Apparel,Jacket,SKU-APP-8911,3,1261.12,5,3594.19,646.95,4241.14,PayPal,In-Store,WH-CA-YYZ,Japan Post,5.0,0,,,,,7561.0
TXN-56602923,29/04/2022 13:59,CUST-640065,AU,Perth,Apparel,Jacket,SKU-APP-2485,1,220.51,0,220.51,22.05,242.56,Debit Card,Online,WH-US-TX,Royal Mail,14.0,0,,,AGT-208,,167.0
TXN-69895129,2024-06-04 05:34:38,CUST-978132,DE,,Home & Kitchen,Air Fryer,SKU-HOM-1614,1,93.32,5,88.65,16.84,105.49,Credit Card,Mobile App,WH-JP-OSA,DHL,13.0,0,,1.9,,,82.0
TXN-17036463,2022-06-22 12:25:54,CUST-315251,FR,Paris,Home & Kitchen,Vacuum Cleaner,SKU-HOM-3919,1,84.51,15,71.83,14.37,86.2,Bank Transfer,Marketplace,WH-AU-SYD,,,0,,2.1,AGT-519,PROMOSAVE,99.0
TXN-28293485,2023-07-15 04:10:16,CUST-709969,US,Los Angeles,Apparel,Formal Shirt,SKU-APP-1611,6,1015.31,10,5482.67,438.61,5921.28,Debit Card,Wholesale,WH-CA-YYZ,,11.0,0,,,AGT-386,,
TXN-48883732,2023-09-23 05:43:02,CUST-805673,BR,Rio de Janeiro,electronics,SSD Drive,SKU-ELE-2758,4,751.13,5,2854.29,342.51,3196.8,Apple Pay,Online,WH-SG-SIN,USPS,1.0,0,,2.6,AGT-844,,
TXN-69895129,2023-01-07 23:48:59,CUST-839057,US,,Home & Kitchen,Air Fryer,SKU-HOM-5286,2,1115.02,5,2118.54,169.48,2288.02,Credit Card,In-Store,WH-DE-FRA,BlueDart,,0,,3.3,AGT-248,PROMOVIP,1450.0
TXN-30641355,2023-10-29 01:51:36,CUST-514567,US,Los Angeles,Apparel,Socks,SKU-APP-9483,2,680.06,0,1360.12,108.81,1468.93,paypal,Online,WH-CA-YYZ,TNT,10.0,0,,,AGT-854,PROMOFLASH,760.0
TXN-56252623,2023-11-01 21:07:53,CUST-794878,IN,Hyderabad,Beauty,Nail Polish,SKU-BEA-5254,5,673.08,0,3365.4,,3971.17,PayPal,Mobile App,WH-JP-OSA,Japan Post,10.0,0,,,AGT-647,PROMOSUMMER,
TXN-38092048,2023-06-01 15:47:54,CUST-643423,DE,Berlin,Beauty,Hair Dryer,SKU-BEA-9950,1,392.59,15,333.7,63.4,397.1,Debit Card,Online,WH-US-CA,TNT,14.0,0,,,AGT-893,,646.0
TXN-71825880,17/05/2024 14:54,CUST-759667,US,Los Angeles,Beauty,Sunscreen,SKU-BEA-6406,4,1190.92,0,4763.68,381.09,5144.77,PayPal,Marketplace,WH-US-TX,Royal Mail,2.0,0,,2.1,AGT-632,PROMOSAVE,
TXN-24446728,2022-06-09 00:13:15,CUST-947705,IN,Delhi,Electronics,Smartwatch,SKU-ELE-9767,2,1055.26,25,1582.89,284.92,1867.81,Buy Now Pay Later,Wholesale,WH-US-TX,Canada Post,5.0,0,,2.3,AGT-923,,1353.0
TXN-90239209,2024-04-16 14:20:35,CUST-779456,US,New York,Home & Kitchen,Rice Cooker,SKU-HOM-2091,1,680.92,0,680.92,54.47,735.39,Credit Card,Wholesale,WH-SG-SIN,Japan Post,6.0,1,Duplicate Order,4.7,AGT-988,,505.0
TXN-22086461,20-10-2023,CUST-256225,BR,Salvador,Electronics,Laptop,SKU-ELE-3327,4,1271.92,20,4070.14,488.42,4558.56,Bank Transfer,In-Store,WH-US-CA,USPS,6.0,0,,3.3,,,7110.0
TXN-72517758,2024-06-14 14:09:07,CUST-904873,IN,,Home & Kitchen,Cookware Set,SKU-HOM-1965,4,1285.1,0,5140.4,925.27,6065.67,Google Pay,Mobile App,WH-GB-LHR,Royal Mail,11.0,0,,4.3,AGT-210,,3671.0
TXN-71825880,2022-11-13 21:38:05,CUST-268511,ZA,Pretoria,Electronics,Smartwatch,SKU-ELE-5557,2,299.83,0,599.66,89.95,689.61,PayPal,Mobile App,WH-DE-FRA,TNT,2.0,0,,,AGT-156,,1262.0
TXN-53891046,2023-08-31 16:36:41,CUST-295954,JP,Tokyo,Beauty,Perfume,SKU-BEA-5571,6,68.95,0,413.7,41.37,455.07,Google Pay,Online,WH-IN-BLR,Australia Post,10.0,0,,3.1,,,
TXN-11313690,2022-01-31 09:18:00,CUST-341543,CA,Ottawa,Apparel,Hoodie,SKU-APP-5439,1,336.06,0,336.06,43.69,379.75,Debit Card,Online,WH-GB-LHR,Japan Post,5.0,1,,,AGT-527,,
TXN-53891046,2023-05-09 18:24:24,CUST-263820,US,Seattle,Beauty,Nail Polish,SKU-BEA-3424,3,846.56,0,2539.68,203.17,2742.85,Debit Card,In-Store,WH-AU-SYD,BlueDart,,0,,,,,2517.0
TXN-44801136,2024-02-09 01:08:21,CUST-143658,US,New York,Beauty,Foundation,SKU-BEA-3515,6,1145.64,0,6873.84,549.91,7423.75,PayPal,Marketplace,WH-US-NJ,TNT,1.0,0,,2.5,AGT-337,,
TXN-91678405,2024-06-21 14:18:58,CUST-446230,JP,Nagoya,Apparel,Jeans,SKU-APP-5972,3,247.15,5,704.38,70.44,774.82,Debit Card,Online,WH-SG-SIN,Canada Post,1.0,0,,1.7,,PROMOSUMMER,783.0
TXN-22123788,2023-11-18 04:03:12,CUST-287614,US,Los Angeles,Sports,Gym Bag,SKU-SPO-1053,3,6.98,0,20.94,1.68,22.62,Debit Card,Online,WH-JP-OSA,FedEx,11.0,0,,2.8,,,42.0
TXN-38092048,2022-10-17 16:40:10,CUST-669571,GB,Glasgow,Beauty,Moisturizer,SKU-BEA-5227,1,1088.5,15,925.23,185.05,1110.28,Bank Transfer,Mobile App,WH-AU-SYD,FedEx,7.0,0,,2.4,AGT-600,PROMOSUMMER,1859.0
TXN-38092048,2022-06-08 21:35:24,CUST-345132,US,Los Angeles,Home & Kitchen,Toaster,SKU-HOM-1740,2,1240.41,0,2480.82,198.47,2679.29,Credit Card,In-Store,WH-IN-BLR,DHL,6.0,0,,3.8,,,3128.0
TXN-38092048,2023-05-03 01:25:34,CUST-504876,US,Chicago,Sports,Jump Rope,SKU-SPO-1183,1,29.34,0,29.34,2.35,31.69,Credit Card,In-Store,WH-DE-FRA,Canada Post,8.0,1,Wrong Item,3.3,AGT-116,,33.0
TXN-33142468,2023-12-25 01:00:54,CUST-815147,US,Dallas,Sports,Yoga Mat,SKU-SPO-3751,1,1115.56,0,1115.56,89.24,1204.8,Credit Card,Online,WH-US-CA,TNT,13.0,0,,3.2,AGT-628,,1444.0
TXN-36310201,2023-01-17 05:25:52,CUST-497173,US,Los Angeles,Beauty,Nail Polish,SKU-BEA-6448,1,203.88,0,203.88,16.31,220.19,Credit Card,Mobile App,WH-IN-BLR,TNT,14.0,0,,2.1,,,430.0
TXN-94606389,2022-01-16 10:24:56,CUST-474517,IN, Delhi ,Sports,Running Shoes,SKU-SPO-2458,3,583.65,5,1663.4,299.41,1962.81,Credit Card,Online,WH-GB-LHR,BlueDart,,0,,2.0,,PROMOFLASH,2528.0
TXN-72517758,2022-11-22 01:05:01,CUST-316227,US,Phoenix,Sports,Cycling Helmet,SKU-SPO-5491,2,23.7,0,47.4,3.79,51.19,PayPal,In-Store,WH-IN-BLR,UPS,2.0,0,,,AGT-575,,45.0
TXN-33142468,May 08 2024,CUST-414772,US,Dallas,Home & Kitchen,Blender,SKU-HOM-5398,5,201.33,0,1006.65,80.53,1087.18,PayPal,Marketplace,WH-JP-OSA,DHL,5.0,1,Size Issue,3.7,,,
TXN-36457455,2024-06-24 01:50:49,CUST-510818,FR,Toulouse,Beauty,Sunscreen,SKU-BEA-9735,1,422.2,0,422.2,84.44,506.64,Credit Card,Mobile App,WH-US-NJ,DHL,7.0,0,,3.9,,PROMOSAVE,846.0
TXN-99002888,2022-08-24 01:42:48,CUST-542685,IN,Bangalore,Home & Kitchen,Blender,SKU-HOM-6434,3,312.72,0,938.16,168.87,1107.03,Bank Transfer,Mobile App,WH-IN-BLR,TNT,12.0,0,,2.2,AGT-290,PROMOVIP,1420.0
TXN-68022012,July 26 2023,CUST-981446,SG,Singapore,Apparel,T-Shirt,SKU-APP-6834,10,90.16,0,901.6,81.14,982.74,Apple Pay,In-Store,WH-CA-YYZ,Australia Post,12.0,0,,,AGT-553,,1609.0
TXN-33142468,2023-05-28 03:30:48,CUST-349002,CA,Calgary,Electronics,Tablet,SKU-ELE-3741,3,1149.3,5,3275.5,425.81,3701.31,Credit Card,Mobile App,WH-US-NJ,USPS,4.0,0,,2.8,AGT-442,,5149.0
TXN-67486127,2024-05-18 01:44:55,CUST-791445,CA,Calgary,Home & Kitchen,Rice Cooker,SKU-HOM-4445,6,852.51,5,4859.31,631.71,5491.02,Debit Card,Online,WH-US-TX,USPS,5.0,0,,4.0,AGT-679,PROMOSAVE,6722.0
TXN-36457455,2024-06-17 20:36:05,CUST-393910,GB,Glasgow,Sports,Dumbbells,SKU-SPO-5907,1,482.87,0,482.87,96.57,579.44,PayPal,Online,WH-SG-SIN,BlueDart,5.0,0,,,,,727.0
TXN-68552633,2023-11-16 19:16:23,CUST-358519,FR,Toulouse,Sports,Running Shoes,SKU-SPO-7630,10,808.81,0,8088.1,1617.62,9705.72,Apple Pay,Online,WH-GB-LHR,BlueDart,6.0,0,,2.7,,PROMOSAVE,7254.0
TXN-33142468,12/01/2022 15:01,CUST-651312,JP,Nagoya,Electronics,Smartphone,SKU-ELE-4054,1,677.14,0,677.14,67.71,744.85,PayPal,Online,WH-DE-FRA,Royal Mail,9.0,0,,1.6,,PROMO10,1073.0
TXN-93178248,2023-05-29 09:49:52,CUST-746532,FR,,Electronics,Laptop,SKU-ELE-6894,1,218.28,0,218.28,43.66,261.94,Google Pay,Online,WH-US-CA,Canada Post,3.0,0,,,AGT-185,PROMOVIP,
TXN-17036463,2023-03-09 17:08:38,CUST-680513,US,Dallas,Electronics,Monitor,SKU-ELE-2045,4,436.26,0,1745.04,139.6,1884.64,Credit Card,Mobile App,WH-GB-LHR,UPS,,0,,1.3,AGT-778,PROMOFLASH,3588.0
TXN-17723256,2023-03-09 17:33:08,CUST-853379,US,Houston,Beauty,Moisturizer,SKU-BEA-3237,1,1164.18,0,1164.18,93.13,1257.31,Credit Card,Online,WH-SG-SIN,Australia Post,,0,,4.4,,,1642.0
TXN-44801136,2023-06-24 21:01:52,CUST-373149,CA,Ottawa,Beauty,Foundation,SKU-BEA-8528,1,351.71,15,298.95,38.86,337.81,Google Pay,Online,WH-GB-LHR,Australia Post,4.0,0,,2.6,,,438.0
TXN-33142468,14/03/2023 05:47,CUST-729791,US,Dallas,Beauty,Lipstick,SKU-BEA-7584,4,531.91,5,2021.26,161.7,2182.96,PayPal,Marketplace,WH-JP-OSA,TNT,2.0,0,,3.1,AGT-548,,1303.0
